@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'The solution should provide the ability to capture patient specific plans of care and treatment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to DC.1.6.1 (Present Guidelines and Protocols for Planning Care) and provide the ability to use locally or non-locally developed templates, guidelines, and protocols for the creation of patient-specific plans of care and treatment.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to use previously developed care plans as a basis for the creation of new plans of care and treatment.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to track updates to a patient’s plan of care and treatment including authors, creation date, version history, references, local sources and non-local sources in accordance with scope of practice, organizational policy and jurisdictional law.',0,0,0,0,0,0,0,0,0,0,0,0,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to coordinate order sets with care plans.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to derive order sets from care plans.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to derive care plans from order sets.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to transfer plans of care and treatment to other care providers.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.3.1.1 (Clinical Task Assignment and Routing) and incorporate care plan items in the tasks assigned and routed.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.3.1.2 (Clinical Task Linking) and incorporate care plan items in the tasks linked.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.3.1.3 (Clinical Task Tracking) and incorporate care plan items in the tasks tracked.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Orders & Referrals',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Medication Orders',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to create prescription or other medication orders with the details adequate for correct filling and administration captured as discrete data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,cchcs_rfp
'The solution should capture user and date stamp for all prescription related events.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.1.4.2 (Manage Medication List) and update the appropriate medication list with the prescribed medications (in case of multiple medication lists).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide a list of medications to search, including both generic and brand name.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to maintain a discrete list of orderable medications.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.1.7.2.1 (Manage Non-Medication Patient Care Orders) and provide the ability to order supplies associated with medication orders in accordance with scope of practice, organizational policy or jurisdictional law.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should make common content available for prescription details to be selected by the ordering clinician.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability for the ordering clinician to create prescription details as needed.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should make available common patient medication instruction content to be selected by the ordering clinician.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to include prescriptions in order sets.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,cchcs_rfp
'The solution should provide a list of frequently-ordered medications by diagnosis by provider which could include the full details of the medication, including SIG, quantity, refills, DAW, etc.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to select drugs by therapeutic class possibly and possibly indication.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function S.3.3.2 (Eligibility Verification and Determination of Coverage) and display the results of electronic prescription eligibility and health plan or payer formulary checking.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to re-prescribe medication by allowing a prior prescription to be reordered without re-entering previous data (e.g. administration schedule, quantity).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to re-prescribe a medication from a prior prescription using the same dosage but allow for editing of details adequate for correct filling and administration of medication (e.g. dose, frequency, body weight).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.2.3.1.1 (Support for Drug Interaction Checking) and check and report allergies, drug-drug interactions, and other potential adverse reactions, when new medications are ordered.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.2.3.1.2 (Support for Patient Specific Dosing and Warnings) and check and report other potential adverse reactions, when new medications are ordered.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to create prescriptions in which the weight-specific dose is suggested.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.2.3.1.3 (Support for Medication Recommendations).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Non-Medication Orders & Referrals Management',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Non-Medication Patient Care Orders',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture nonmedication patient care orders for an action or item.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture adequate order detail for correct order fulfillment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should track the status of the ordered action or item.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture patient instructions necessary for correct order fulfillment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to present patient instructions necessary for correct order fulfillment.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to communicate the order to the correct recipient(s) for order fulfillment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to DC.2.4.2 (Support for Non- Medication Ordering).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Orders for Diagnostic Tests',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture orders for diagnostic tests.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture adequate order detail for correct diagnostic test fulfillment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to track the status of diagnostic test(s).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture and present patient instructions relevant to the diagnostic test ordered.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should communicate orders to the service provider of the diagnostic test.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should communicate supporting detailed documentation to the correct service provider of the diagnostic test.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to DC.2.4.2 (Support for Non-Medication Ordering).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Orders for Blood Products & Other Biologics',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to interface with solutions of blood banks or other sources to manage orders for blood products or other biologics.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture use of such products in the provision of care.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should to function S.1.1 (Registry Notification).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Referrals',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture and communicate referral(s) to other care provider (s), whether internal or external to the organization.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to capture clinical details as necessary for the referral.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture administrative details (such as insurance information, consents and authorizations for disclosure) as necessary for the referral.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should present captured referral information.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture completion of a referral appointment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide diagnosis based clinical guidelines for making a referral.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide order sets for referral preparation.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to document transfer of care according to organizational policy, scope of practice, and jurisdictional law.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Manage Order Sets',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to present order set(s).',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to order at the patient level from presented order sets.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to record each component of an order set that is ordered.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.2.4.1 (Support for Order Sets).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability for a provider to choose from among the order sets pertinent to a certain disease or other criteria.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'Documentation of Care, Measurements, and Results',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should conform to function IN.2.2 (Auditable Records).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'Manage Medication Administration',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should present the list of medications to be administered.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should display the timing, route of administration, and dose of all medications on the list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should display instructions for administration of all medications on the list.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should notify the clinician when specific doses are due.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.2.3.1.1 (Support for Drug Interaction Checking) and check and report allergies, drug-drug interactions, and other potential adverse reactions, when new medications are about to be given.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.2.3.1.2 (Support for Patient Specific Dosing and Warnings) and check and report other potential adverse reactions, when new medications are about to be given.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture medication administration details: including timestamps, observations, complications, and reason if medication was not given - in accordance with organizational policy, scope of practice, and jurisdictional law.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should securely relate interventions to be administered to the unique identity of the patient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,cchcs_rfp
'Manage Immunization Administration',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
'The solution should provide the ability to recommend required immunizations, and when they are due, during an encounter based on widely accepted immunization schedules.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to recommend required immunizations based on patient risk factors.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should perform checking for potential adverse or allergic reactions for all immunizations when they are about to be given.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture immunization administration details, including date, type, lot number and manufacturer.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to capture other clinical data pertinent to the immunization administration (e.g. vital signs).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should record as discrete data elements data associated with any immunization.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,cchcs_rfp
'The solution should provide the ability to associate standard codes with discrete data elements associated with an immunization.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,cchcs_rfp
'The solution should provide the ability to update the immunization schedule.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should provide the ability to prepare a report of a patient‘s immunization history upon request for appropriate authorities such as Public Health departmetn.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,cchcs_rfp
'The solution should conform to function DC.1.4.1 (Manage Allergy, Intolerance and Adverse Reaction Lists).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,cchcs_rfp
